iteration,state_index,energy_hartree,thermal_weight,occupation
12,23,-1.032490156140986,0.012222880219936895,4 5 2 3
12,24,-0.9974535787634807,0.01100335131119072,0 7 6 3
12,25,-0.9974535787634783,0.011003351311190642,6 1 2 7
12,26,-0.9023822161427536,0.008272905712999058,0 1 6 7
13,0,-1.9663001098219928,0.19996065752804543,0 1 2 3
13,1,-1.6800621744081121,0.08472467051385019,0 1 2 5
13,2,-1.6800260952291906,0.08471550062048289,0 1 4 3
13,3,-1.5376683495898185,0.05526972853079519,0 5 2 3
13,4,-1.537667770333927,0.055269632484931025,4 1 2 3
13,5,-1.4754144192490433,0.04585405168750765,0 1 6 3
13,6,-1.4754083073379434,0.0458532109275532,0 1 2 7
13,7,-1.4743134577472095,0.04570285088751895,0 1 4 5
13,8,-1.3754977723153563,0.0339780124345306,6 1 2 3
13,9,-1.3754352479779004,0.03397163967408159,0 7 2 3
13,10,-1.315098252794316,0.028346825929720966,0 5 4 3
13,11,-1.3150982527943142,0.028346825929720817,4 1 2 5
13,12,-1.285997860023866,0.025977061157974952,4 1 6 3
13,13,-1.2859976807962274,0.025977047190556726,0 5 2 7
13,14,-1.245857159098969,0.02302986340570242,0 1 4 7
13,15,-1.245857159098966,0.02302986340570221,0 1 6 5
13,16,-1.2046985344517374,0.02035478274760633,0 7 4 3
13,17,-1.2045966421904146,0.020348561713938895,6 1 2 5
13,18,-1.1582577195834092,0.017707591822062458,0 5 6 3
13,19,-1.1582526959171398,0.017707324952978203,4 1 2 7
13,20,-1.082092347352429,0.014090451190420518,6 7 2 3
13,21,-1.0736509263987044,0.013738101232621723,6 5 2 3
13,22,-1.0736509263987,0.01373810123262154,4 7 2 3
13,23,-1.0344229979203345,0.012212857608778214,4 5 2 3
13,24,-0.9974535787634723,0.010930762279029244,6 1 2 7
13,25,-0.9974535787634699,0.010930762279029166,0 7 6 3
13,26,-0.9029872731541776,0.008233260632238977,0 1 6 7
14,0,-1.966902259013413,0.19993596267314323,0 1 2 3
14,1,-1.6825579895096432,0.08519683797113843,0 1 2 5
14,2,-1.6825376834365562,0.08519164808956334,0 1 4 3
14,3,-1.5386301461503362,0.05532256044904523,4 1 2 3
14,4,-1.538606838309274,0.055318692235948,0 5 2 3
14,5,-1.4815478214555278,0.046615533195709886,0 1 4 5
14,6,-1.4746694591266685,0.045663474304829435,0 1 6 3
14,7,-1.4746538015618462,0.04566132941877857,0 1 2 7
14,8,-1.3737704740133276,0.03373722319502504,0 7 2 3
14,9,-1.3737408318980433,0.03373422320043833,6 1 2 3
14,10,-1.3150982527943058,0.02829217062424767,0 5 4 3
14,11,-1.315098252794305,0.028292170624247593,4 1 2 5
14,12,-1.284800629691983,0.025834020327980545,4 1 6 3
14,13,-1.2847995319319012,0.025833935249451837,0 5 2 7
14,14,-1.2458571590989598,0.022985459696357118,0 1 6 5
14,15,-1.245857159098958,0.022985459696356996,0 1 4 7
14,16,-1.2114191288875418,0.02072929129109708,6 1 2 5
14,17,-1.2113578228304605,0.020725479148323553,0 7 4 3
14,18,-1.1513371434755086,0.017310301418906073,4 1 2 7
14,19,-1.151328630118132,0.017309859318204907,0 5 6 3
14,20,-1.0992430772391049,0.014805808697340377,6 7 2 3
14,21,-1.073650926398696,0.013711612901217292,4 7 2 3
14,22,-1.0736509263986946,0.013711612901217245,6 5 2 3
14,23,-1.0119645845510248,0.011395107598459318,4 5 2 3
14,24,-0.9974535787634656,0.010909686757103288,6 1 2 7
14,25,-0.9974535787634652,0.010909686757103274,0 7 6 3
14,26,-0.8890485670281526,0.007880852258766445,0 1 6 7
15,0,-1.9656415552250033,0.19873492498709125,0 1 2 3
15,1,-1.680683099167894,0.08452915744500275,0 1 4 3
15,2,-1.6806276534001103,0.08451509826221446,0 1 2 5
15,3,-1.5385881999553037,0.05519165894116762,0 5 2 3
15,4,-1.5385461618186433,0.05518469891655332,4 1 2 3
15,5,-1.5033759610486672,0.04965877534622391,0 1 4 5
15,6,-1.4763359820730555,0.045789517165831385,0 1 2 7
15,7,-1.476298267724512,0.045784336693474044,0 1 6 3
15,8,-1.3734889684101639,0.0336332156976,6 1 2 3
15,9,-1.3734571086584726,0.03363000121351932,0 7 2 3
15,10,-1.3150982527942947,0.02822877913475817,4 1 2 5
15,11,-1.3150982527942947,0.02822877913475817,0 5 4 3
15,12,-1.2794971270724576,0.02536927045725679,4 1 6 3
15,13,-1.279496721576057,0.025369239595832007,0 5 2 7
15,14,-1.2458571590989522,0.02293395843312434,0 1 4 7
15,15,-1.2458571590989496,0.022933958433124155,0 1 6 5
15,16,-1.2271772139835233,0.021684091428906687,0 7 4 3
15,17,-1.2271211271668785,0.021680443160864666,6 1 2 5
15,18,-1.152690701065765,0.017341792488664673,0 5 6 3
15,19,-1.1526881122761428,0.0173416578064304,4 1 2 7
15,20,-1.123478698516081,0.015886716684437065,6 7 2 3
15,21,-1.0736509263986893,0.01368089063615498,6 5 2 3
